Date,Stock_Symbol,Company_Name,Sector,Buy_Price,Current_Price,Quantity,Investment,Current_Value,Profit_Loss,Return_Percentage
2025-01-01,JPM,JPMorgan Chase,Finance,245.02,208.48,72.0,17641.44,15010.56,-2630.88,-14.91
2025-01-03,TSLA,Tesla,Automotive,224.2,187.39,75.0,16815.0,14054.25,-2760.75,-16.42
2025-01-05,V,Visa,Finance,332.54,275.53,3.0,997.62,826.59,-171.03,-17.14
2025-01-08,NVDA,NVIDIA,Technology,112.7,129.28,30.0,3381.0,3878.4,497.4,14.71
2025-01-10,NVDA,NVIDIA,Technology,110.53,143.22,33.0,3647.49,4726.26,1078.77,29.58
2025-01-13,KO,Coca-Cola,Consumer,70.52,69.64,49.0,3455.48,3412.36,-43.12,-1.25
2025-01-15,KO,Coca-Cola,Consumer,60.48,77.75,15.0,907.2,1166.25,259.05,28.55
2025-01-18,GOOGL,Alphabet,Technology,168.83,217.92,3.0,506.49,653.76,147.27,29.08
2025-01-20,TSLA,Tesla,Automotive,258.07,217.76,39.0,10064.73,8492.64,-1572.09,-15.62
2025-01-22,MSFT,Microsoft,Technology,476.56,610.52,9.0,4289.04,5494.68,1205.64,28.11
2025-01-25,KO,Coca-Cola,Consumer,61.55,69.33,60.0,3693.0,4159.8,466.8,12.64
2025-01-27,JPM,JPMorgan Chase,Finance,232.42,280.82,35.0,8134.7,9828.7,1694.0,20.82
2025-01-30,AAPL,Apple,Technology,166.97,,2.0,333.94,372.14,38.2,11.44
2025-02-01,NVDA,NVIDIA,Technology,118.61,125.99,93.0,11030.73,11717.07,686.34,6.22
2025-02-04,MSFT,Microsoft,Technology,454.67,575.94,62.0,28189.54,35708.28,7518.74,26.67
2025-02-06,AMZN,Amazon,Consumer,200.73,252.32,72.0,14452.56,18167.04,3714.48,25.7
2025-02-09,JPM,JPMorgan Chase,Finance,226.41,289.5,85.0,19244.85,24607.5,5362.65,27.87
2025-02-11,MSFT,Microsoft,Technology,425.0,455.9,89.0,37825.0,40575.1,2750.1,7.27
2025-02-13,JNJ,Johnson & Johnson,Healthcare,164.3,138.16,89.0,14622.7,12296.24,-2326.46,-15.91
2025-02-16,JPM,JPMorgan Chase,Finance,219.83,212.62,8.0,1758.64,1700.96,-57.68,-3.28
2025-02-18,V,Visa,Finance,298.98,256.93,8.0,2391.84,2055.44,-336.4,-14.06
2025-02-21,GOOGL,Alphabet,Technology,190.23,206.07,41.0,7799.43,8448.87,649.44,8.33
2025-02-23,JPM,JPMorgan Chase,Finance,248.63,247.93,33.0,8204.79,8181.69,-23.1,-0.28
2025-02-26,JPM,JPMorgan Chase,Finance,212.24,197.14,99.0,21011.76,19516.86,-1494.9,-7.11
2025-02-28,V,Visa,Finance,326.35,345.5,99.0,32308.65,34204.5,1895.85,5.87
2025-03-02,TSLA,Tesla,,285.38,347.28,5.0,1426.9,1736.4,309.5,21.69
2025-03-05,KO,Coca-Cola,Consumer,64.46,57.42,27.0,1740.42,1550.34,-190.08,-10.92
2025-03-07,JNJ,Johnson & Johnson,Healthcare,186.06,150.89,77.0,14326.62,11618.53,-2708.09,-18.9
2025-03-10,GOOGL,Alphabet,Technology,150.4,165.44,52.0,7820.8,8602.88,782.08,10.0
2025-03-12,AMZN,Amazon,Consumer,218.84,194.14,15.0,3282.6,2912.1,-370.5,-11.29
2025-03-15,AMZN,Amazon,Consumer,220.91,238.44,86.0,18998.26,20505.84,1507.58,7.94
2025-03-17,MSFT,Microsoft,Technology,435.67,397.59,6.0,2614.02,2385.54,-228.48,-8.74
2025-03-20,AMZN,Amazon,Consumer,217.96,228.13,92.0,20052.32,20987.96,935.64,4.67
2025-03-22,JNJ,Johnson & Johnson,Healthcare,165.45,134.1,27.0,4467.15,3620.7,-846.45,-18.95
2025-03-24,JNJ,Johnson & Johnson,Healthcare,191.7,234.53,70.0,13419.0,16417.1,2998.1,22.34
2025-03-27,V,Visa,Finance,353.58,359.47,97.0,34297.26,34868.59,571.33,1.67
2025-03-29,GOOGL,Alphabet,Technology,162.89,144.04,,9610.51,8498.36,-1112.15,-11.57
2025-04-01,NVDA,NVIDIA,Technology,119.03,125.81,52.0,6189.56,6542.12,352.56,5.7
2025-04-03,AAPL,Apple,Technology,156.5,139.23,12.0,1878.0,1670.76,-207.24,-11.04
2025-04-06,JPM,JPMorgan Chase,Finance,224.81,205.81,56.0,12589.36,11525.36,-1064.0,-8.45
2025-04-08,AAPL,Apple,Technology,,215.48,92.0,15401.72,19824.16,4422.44,28.71
2025-04-10,NVDA,NVIDIA,Technology,111.79,105.06,1.0,111.79,105.06,-6.73,-6.02
2025-04-13,GOOGL,Alphabet,Technology,184.49,192.24,90.0,16604.1,17301.6,697.5,4.2
2025-04-15,NVDA,NVIDIA,Technology,119.94,134.29,75.0,8995.5,10071.75,1076.25,11.96
2025-04-18,V,Visa,Finance,322.45,370.98,24.0,7738.8,8903.52,1164.72,15.05
2025-04-20,TSLA,Tesla,Automotive,259.92,285.51,11.0,2859.12,3140.61,281.49,9.85
2025-04-23,AAPL,Apple,Technology,161.14,165.9,80.0,12891.2,13272.0,380.8,2.95
2025-04-25,GOOGL,Alphabet,Technology,179.77,201.82,19.0,3415.63,3834.58,418.95,12.27
2025-04-28,KO,Coca-Cola,Consumer,70.25,61.44,96.0,6744.0,5898.24,-845.76,-12.54
2025-04-30,JPM,JPMorgan Chase,Finance,203.02,229.42,39.0,7917.78,8947.38,1029.6,13.0
2025-05-02,MSFT,Microsoft,Technology,462.55,518.81,57.0,26365.35,29572.17,3206.82,12.16
2025-05-05,JNJ,Johnson & Johnson,Healthcare,159.73,167.36,42.0,6708.66,7029.12,320.46,4.78
2025-05-07,GOOGL,Alphabet,Technology,160.75,136.03,60.0,9645.0,8161.8,-1483.2,-15.38
2025-05-10,AAPL,Apple,Technology,166.06,133.05,12.0,1992.72,1596.6,-396.12,-19.88
2025-05-12,TSLA,Tesla,Automotive,280.03,307.53,9.0,2520.27,2767.77,247.5,9.82
2025-05-15,JNJ,Johnson & Johnson,Healthcare,167.08,192.02,3.0,501.24,576.06,74.82,14.93
2025-05-17,AMZN,Amazon,Consumer,217.64,256.58,24.0,5223.36,6157.92,934.56,17.89
2025-05-19,AMZN,Amazon,Consumer,170.67,,38.0,6485.46,5440.46,-1045.0,-16.11
2025-05-22,V,Visa,Finance,361.18,272.71,89.0,32145.02,24271.19,-7873.83,-24.49
2025-05-24,GOOGL,Alphabet,Technology,199.87,181.11,82.0,16389.34,14851.02,-1538.32,-9.39
2025-05-27,MSFT,Microsoft,Technology,444.18,492.41,41.0,18211.38,20188.81,1977.43,10.86
2025-05-29,AMZN,Amazon,Consumer,207.41,182.62,21.0,4355.61,3835.02,-520.59,-11.95
2025-06-01,AMZN,Amazon,Consumer,187.19,217.01,67.0,12541.73,14539.67,1997.94,15.93
2025-06-03,AAPL,Apple,Technology,169.64,177.85,59.0,10008.76,10493.15,484.39,4.84
2025-06-06,GOOGL,Alphabet,Technology,182.16,161.71,30.0,5464.8,4851.3,-613.5,-11.23
2025-06-08,NVDA,NVIDIA,Technology,148.68,151.31,8.0,1189.44,1210.48,21.04,1.77
2025-06-10,MSFT,Microsoft,Technology,401.11,443.15,64.0,25671.04,28361.6,2690.56,10.48
2025-06-13,AAPL,Apple,Technology,163.54,187.64,19.0,3107.26,3565.16,457.9,14.74
2025-06-15,AMZN,Amazon,Consumer,167.17,184.72,17.0,2841.89,3140.24,298.35,10.5
2025-06-18,TSLA,Tesla,Automotive,278.76,323.71,37.0,10314.12,11977.27,1663.15,16.12
